Character,Move,Frames
samus,neutral-a,17
samus,f-tilt,31
samus,d-tilt,39
samus,u-tilt,39
samus,f-smash,43
samus,d-smash,48
samus,u-smash,59
samus,dash-attack,43
samus,n-air,80
samus,f-air,80
samus,d-air,80
samus,u-air,80
samus,b-air,80
samus,charge-shot,46
samus,side-b,49
samus,down-b,160
samus,up-b,104
samus,standing-grab,94
samus,running-grab,75
samus,air-dodge,65
samus,spot-dodge,22
samus,roll-forward,46
samus,roll-backward,46
samus,full-jump,100
samus,short-hop,75
samus,hud-off,100
samus,background-off,100
samus,double-jump,75
fox,neutral-a,20
fox,f-tilt,27
fox,d-tilt,42
fox,u-tilt,25
fox,f-smash,42
fox,d-smash,52
fox,u-smash,45
fox,dash-attack,49
fox,n-air,60
fox,f-air,60
fox,d-air,60
fox,u-air,60
fox,b-air,60
fox,neutral-b,43
fox,side-b,66
fox,down-b,42
fox,up-b,135
fox,standing-grab,34
fox,running-grab,51
fox,air-dodge,58
fox,spot-dodge,25
fox,roll-forward,35
fox,roll-backward,35
fox,full-jump,71
fox,short-hop,57
fox,hud-off,80
fox,background-off,80
fox,double-jump,78
samus,turn-around,1
samus,dash-10,10
samus,dash-25,25
samus,walk-25,25
samus,stand-1,1
samus,stand-5,5
samus,stand-10,10
samus,stand-25,25
samus,stand-100,100
samus,shield-25,25
fox,turn-around,1
fox,dash-10,10
fox,dash-25,25
fox,walk-25,25
fox,stand-1,1
fox,stand-5,5
fox,stand-10,10
fox,stand-25,25
fox,stand-100,100
fox,shield-25,25
