Character,Move,Frames
samus,neutral-a,17
samus,f-tilt,31
samus,d-tilt,39
samus,u-tilt,39
samus,f-smash,43
samus,d-smash,48
samus,u-smash,59
samus,dash-attack,43
samus,n-air,80
samus,f-air,80
samus,d-air,80
samus,u-air,80
samus,b-air,80
samus,charge-shot,46
samus,side-b,49
samus,down-b,160
samus,up-b,104
samus,standing-grab,94
samus,running-grab,75
samus,air-dodge,65
samus,spot-dodge,22
samus,roll-forward,46
samus,roll-backward,46
samus,full-jump,100
samus,short-hop,75
samus,hud-off,100
samus,background-off,100
samus,double-jump,75
