Move,Orientation,Step,DTM
b-air,left,1,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
b-air,left,2,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
b-air,left,3,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
b-air,left,4,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
b-air,left,5,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
b-air,left,6,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
b-air,left,7,0:1:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
b-air,right,1,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
b-air,right,2,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
b-air,right,3,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
b-air,right,4,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
b-air,right,5,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
b-air,right,6,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
b-air,right,7,0:1:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
dash-attack,left,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-attack,left,2,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-attack,left,3,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-attack,left,4,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-attack,left,5,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-attack,left,6,0:1:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-attack,right,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-attack,right,2,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-attack,right,3,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-attack,right,4,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-attack,right,5,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-attack,right,6,0:1:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
f-air,left,1,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
f-air,left,2,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
f-air,left,3,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
f-air,left,4,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
f-air,left,5,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
f-air,left,6,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
f-air,left,7,0:1:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
f-air,right,1,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
f-air,right,2,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
f-air,right,3,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
f-air,right,4,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
f-air,right,5,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
f-air,right,6,0:0:0:1:0:0:0:0:0:0:0:0:0:0:128:128:128:128
f-air,right,7,0:1:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
f-smash,left,1,0:1:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
f-smash,right,1,0:1:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
