Character,Move,Frames
falco,neutral-a,20
falco,f-tilt,28
falco,d-tilt,32
falco,u-tilt,25
falco,f-smash,40
falco,d-smash,50
falco,u-smash,45
falco,dash-attack,48
falco,n-air,89
falco,f-air,89
falco,d-air,89
falco,u-air,89
falco,b-air,89
falco,neutral-b,60
falco,side-b,63
falco,down-b,42
falco,up-b,120
falco,standing-grab,33
falco,running-grab,50
falco,air-dodge,58
falco,spot-dodge,25
falco,roll-forward,35
falco,roll-backward,35
falco,full-jump,90
falco,short-hop,63
falco,hud-off,85
falco,background-off,85
falco,double-jump,90
