Character,Move,Frames
falcon,neutral-a,25
falcon,f-tilt,32
falcon,d-tilt,47
falcon,u-tilt,42
falcon,f-smash,69
falcon,d-smash,53
falcon,u-smash,57
falcon,dash-attack,49
falcon,n-air,80
falcon,f-air,80
falcon,d-air,80
falcon,u-air,80
falcon,b-air,80
falcon,neutral-b,104
falcon,side-b,82
falcon,down-b,73
falcon,up-b,100
falcon,standing-grab,33
falcon,running-grab,49
falcon,air-dodge,57
falcon,spot-dodge,35
falcon,roll-forward,35
falcon,roll-backward,35
falcon,full-jump,82
falcon,short-hop,60
falcon,hud-off,77
falcon,background-off,77
falcon,double-jump,80
falcon,turn-around,1
falcon,dash-10,10
falcon,dash-25,25
falcon,walk-25,25
falcon,stand-1,1
falcon,stand-5,5
falcon,stand-10,10
falcon,stand-25,25
falcon,stand-100,100
falcon,shield-25,25
