Character,Move,Frames
jigglypuff,neutral-a,20
jigglypuff,f-tilt,30
jigglypuff,d-tilt,52
jigglypuff,u-tilt,27
jigglypuff,f-smash,50
jigglypuff,d-smash,63
jigglypuff,u-smash,60
jigglypuff,dash-attack,56
jigglypuff,n-air,90
jigglypuff,f-air,90
jigglypuff,d-air,90
jigglypuff,u-air,90
jigglypuff,b-air,90
jigglypuff,neutral-b,160
jigglypuff,side-b,49
jigglypuff,down-b,260
jigglypuff,up-b,185
jigglypuff,standing-grab,35
jigglypuff,running-grab,55
jigglypuff,air-dodge,50
jigglypuff,spot-dodge,30
jigglypuff,roll-forward,39
jigglypuff,roll-backward,39
jigglypuff,full-jump,90
jigglypuff,short-hop,70
jigglypuff,hud-off,90
jigglypuff,background-off,90
jigglypuff,double-jump,90
