Character,Move,Frames
marth,neutral-a,29
marth,f-tilt,36
marth,d-tilt,57
marth,u-tilt,40
marth,f-smash,50
marth,d-smash,66
marth,u-smash,55
marth,dash-attack,57
marth,n-air,95
marth,f-air,95
marth,d-air,95
marth,u-air,95
marth,b-air,95
marth,neutral-b,47
marth,side-b,31
marth,down-b,60
marth,up-b,95
marth,standing-grab,32
marth,running-grab,47
marth,air-dodge,60
marth,spot-dodge,30
marth,roll-forward,40
marth,roll-backward,40
marth,full-jump,95
marth,short-hop,74
marth,hud-off,86
marth,background-off,86
marth,double-jump,86
