Character,Move,Frames
peach,neutral-a,22
peach,f-tilt,44
peach,d-tilt,39
peach,u-tilt,42
peach,f-smash,55
peach,d-smash,42
peach,u-smash,46
peach,dash-attack,46
peach,n-air,98
peach,f-air,98
peach,d-air,98
peach,u-air,98
peach,b-air,98
peach,neutral-b,66
peach,side-b,80
peach,turnip-throw,67
peach,up-b,156
peach,standing-grab,35
peach,running-grab,50
peach,air-dodge,46
peach,spot-dodge,30
peach,roll-forward,35
peach,roll-backward,35
peach,full-jump,97
peach,short-hop,79
peach,hud-off,40
peach,background-off,40
peach,double-jump,133
peach,turn-around,1
peach,dash-10,10
peach,dash-25,25
peach,walk-25,25
peach,stand-1,1
peach,stand-5,5
peach,stand-10,10
peach,stand-25,25
peach,stand-100,100
peach,shield-25,25
