Character,Move,Frames
sheik,neutral-a,20
sheik,f-tilt,30
sheik,d-tilt,39
sheik,u-tilt,35
sheik,f-smash,51
sheik,d-smash,50
sheik,u-smash,49
sheik,dash-attack,45
sheik,n-air,85
sheik,f-air,85
sheik,d-air,85
sheik,u-air,85
sheik,b-air,85
sheik,neutral-b,50
sheik,side-b,86
sheik,down-b,10
sheik,up-b,127
sheik,standing-grab,34
sheik,running-grab,48
sheik,air-dodge,60
sheik,spot-dodge,24
sheik,roll-forward,35
sheik,roll-backward,35
sheik,full-jump,86
sheik,short-hop,74
sheik,hud-off,93
sheik,background-off,93
sheik,double-jump,99
